date,ADA,BTC,DOGE,ETC,ETH,XRP
2018-01-01,0.728657,13657.2002,0.008909,34.1679,772.640991,2.39103
2018-01-02,0.782587,14982.09961,0.009145,34.917099,884.44397,2.4809
2018-01-03,1.07966,15201,0.00932,34.8634,962.719971,3.10537
2018-01-04,1.11412,15599.2002,0.009644,36.318001,980.921997,3.19663
2018-01-05,0.999559,17429.5,0.012167,36.199501,997.719971,3.04871
2018-01-06,1.02715,17527,0.014863,38.424801,1041.680054,3.09397
2018-01-07,1.00852,16477.59961,0.017088,40.793098,1153.170044,3.37781
2018-01-08,0.899002,15170.09961,0.015045,34.186298,1148.530029,2.45621
2018-01-09,0.814743,14595.40039,0.01342,38.321602,1299.73999,2.10178
2018-01-10,0.793121,14973.29981,0.013102,36.952202,1255.819946,1.97492
2018-01-11,0.688412,13405.79981,0.011469,32.7939,1154.930054,1.9508
2018-01-12,0.897508,13980.59961,0.013056,36.4039,1273.199951,2.04323
2018-01-13,0.884124,14360.2002,0.013023,42.393902,1396.420044,2.02135
2018-01-14,0.802262,13772,0.011684,42.957298,1366.77002,1.86119
2018-01-15,0.778587,13819.79981,0.009857,40.495602,1291.920044,1.67673
2018-01-16,0.626493,11490.5,0.006822,28.4573,1053.689941,1.17924
2018-01-17,0.629102,11188.59961,0.007648,29.1236,1014.25,1.30634
2018-01-18,0.659843,11474.90039,0.007969,30.186199,1036.280029,1.59658
2018-01-19,0.650498,11607.40039,0.007871,31.7043,1039.099976,1.55205
2018-01-20,0.70751,12899.2002,0.008448,35.009102,1155.150024,1.57862
2018-01-21,0.613163,11600.09961,0.007131,30.3221,1049.579956,1.38004
2018-01-22,0.570458,10931.40039,0.006734,29.264601,1003.26001,1.35735
2018-01-23,0.56307,10868.40039,0.006673,28.366501,986.229004,1.33707
2018-01-24,0.622208,11359.40039,0.007083,29.604099,1058.780029,1.35715
2018-01-25,0.637495,11259.40039,0.007667,29.194201,1056.030029,1.31223
2018-01-26,0.623382,11171.40039,0.007237,28.795099,1055.170044,1.21727
2018-01-27,0.616833,11440.7002,0.007373,29.4935,1107.069946,1.21911
2018-01-28,0.670286,11786.29981,0.007465,32.9006,1246.01001,1.3996
2018-01-29,0.623204,11296.40039,0.006967,31.714899,1182.359985,1.32397
2018-01-30,0.531913,10106.29981,0.006024,27.133699,1071.130005,1.13856
2018-01-31,0.519315,10221.09961,0.00601,28.7572,1118.310059,1.16239
2018-02-01,0.421672,9170.540039,0.005029,24.969999,1036.790039,0.96253
2018-02-02,0.390534,8830.75,0.004475,23.0728,915.784973,0.884784
2018-02-03,0.438836,9174.910156,0.005164,24.196699,964.018982,0.924043
2018-02-04,0.379303,8277.009766,0.004399,21.037399,834.682007,0.815703
2018-02-05,0.327371,6955.27002,0.003533,16.5268,697.950989,0.691799
2018-02-06,0.369753,7754,0.004361,19.3885,793.122009,0.776393
2018-02-07,0.340447,7621.299805,0.004297,18.157499,757.067993,0.723895
2018-02-08,0.356584,8265.589844,0.004566,21.793501,817.807007,0.805263
2018-02-09,0.391602,8736.980469,0.005,25.997999,883.86499,0.954428
2018-02-10,0.405872,8621.900391,0.004989,24.515499,860.414978,1.07074
2018-02-11,0.369769,8129.970215,0.004956,24.129,814.659973,1.00416
2018-02-12,0.384315,8926.570313,0.005472,29.8815,868.70697,1.08101
2018-02-13,0.373314,8598.30957,0.005638,33.9613,845.257996,1.02741
2018-02-14,0.396908,9494.629883,0.00673,35.041801,923.560974,1.14162
2018-02-15,0.409368,10166.40039,0.007347,34.531799,936.976013,1.14686
2018-02-16,0.40381,10233.90039,0.007034,35.034,944.210022,1.13803
2018-02-17,0.419883,11112.7002,0.007049,34.9865,974.11499,1.20498
2018-02-18,0.385618,10551.79981,0.006424,34.880001,923.921021,1.12046
2018-02-19,0.391472,11225.29981,0.006697,39.293999,943.86499,1.14442
2018-02-20,0.378779,11403.7002,0.007094,38.469799,895.370972,1.08946
2018-02-21,0.364441,10690.40039,0.006581,36.633099,849.971008,1.01539
2018-02-22,0.337871,10005,0.006259,32.806499,812.844971,0.941788
2018-02-23,0.345258,10301.09961,0.006648,38.039799,864.189026,0.998855
2018-02-24,0.322966,9813.070313,0.006324,38.842701,840.515015,0.954402
2018-02-25,0.344033,9664.730469,0.006142,36.4128,844.809998,0.943487
2018-02-26,0.338335,10366.7002,0.006339,36.079201,869.315002,0.956859
2018-02-27,0.335536,10725.59961,0.006291,36.2481,878.265015,0.947305
2018-02-28,0.312581,10397.90039,0.006018,33.694302,855.198975,0.904583
2018-03-01,0.304397,10951,0.006215,33.761002,872.200012,0.928347
2018-03-02,0.293504,11086.40039,0.005482,30.7659,856.853027,0.910144
2018-03-03,0.297106,11489.7002,0.005301,29.190399,857.224976,0.907804
2018-03-04,0.300787,11512.59961,0.005502,29.685499,866.677979,1.00554
2018-03-05,0.297622,11573.29981,0.005218,26.843201,853.684021,0.959368
2018-03-06,0.285357,10779.90039,0.00461,25.0987,816.950989,0.922887
2018-03-07,0.247281,9965.570313,0.004024,22.117001,752.830994,0.87121
2018-03-08,0.221743,9395.009766,0.004025,22.667601,704.596008,0.825857
2018-03-09,0.222207,9337.549805,0.004146,22.4755,728.916016,0.849761
2018-03-10,0.209873,8866,0.003973,20.911699,686.890015,0.796627
2018-03-11,0.223498,9578.629883,0.00421,21.575399,723.338989,0.831122
2018-03-12,0.223722,9205.120117,0.004032,20.4991,699.830994,0.801048
2018-03-13,0.223026,9194.849609,0.00396,19.924,690.827026,0.789711
